Formatted ID,Name,Description,Project,Creation Date,State,Severity,Environment,Resolution,Defect Reported By,ServiceNow_Problem,ServiceNow_Incident,ServiceNow_Problem_Type,Owner,RCA Root Cause US,Iteration,Schedule State,Accepted Date
DE867540,Cirrus  - Please assign to Cirrus workgroup.,"Description:We're unable to trigger an Oxford Group Handbook via the Member Group Fulfillment UI. Neither Contract Option Periods 2023 or 2024 (5/1/2023, 5/1/2024).After accessing the Member Group Fulfillment UI, selecting 'Group Handbook', Eff Date 5/1/2023, and Population Name - the Template Name drop down refreshes to reveal 'Medical Handbook' and the Population Name disappears.UI path: Member Group> Member Group FulfillmentProduct entered by customer: Cirrusexample group in Prod:Group Name: 1296690Group ID: 1296690Contr Opt Eff Date: 5/1/2023Template Name: Group Handbook",Heimdalls,03-04-2024,Submitted,3-Medium,Production,,Customer Reported,3c2740e647598a188e4446bd416d4373,,Incident,,,,Refining,
DE867394,MemberGroupErrorQueue generating unusually high volume of Errrors (700+) for Contract Producer Updates,"Member Group Error Queue. Tools >> 39 Member Group Error Queue, Filter by Open and Contract Producer Updates, shows over 700 errors all of which are for ERR50071 -  Snapshot application failed. This error started generating as of 3/30/2024.Looking at ERR50071, the error itself is just a generic failure error we see used in hundreds of places in the code.Currently US6694169 & DE861673 should be resolving the issue, but I'm opening this problem ticket to track the issue so the incident can be closed.It appears this is an example of what's happening. It's the sysbillingdefaultvalue NPE that's causing the failures from what we can see in Splunk.2024-04-03 02:33:00.567-05:00  ERROR- |[CORE_SCHEDULER-scheduler.client.core.jobqueue.default-1] [com.optum.cirrus.legacy.core.membergroup.service.impl.ProducerCompServiceImpl] [mthd] 8338665d-285d-4636-8663-6465e29d875d tenantID:6  | [] - ProducerCompMessage BA16E46C-24FA-45F9-BEBD-B178793A6B55 encountered unexpected error.java.lang.NullPointerException: null at com.optum.cirrus.legacy.core.messaging.inbound.membergroup.service.impl.ProducerCompMessageTransformerImpl.getSysBillingDefaultValue(ProducerCompMessageTransformerImpl.java:319) ~[cirrus-legacy-core-1.318.113.jar:1.318.113] at com.optum.cirrus.legacy.core.messaging.inbound.membergroup.service.impl.ProducerCompMessageTransformerImpl.createMemGroupContractProducerList(ProducerCompMessageTransformerImpl.java:139) ~[cirrus-legacy-core-1.318.113.jar:1.318.113] at com.optum.cirrus.legacy.core.messaging.inbound.membergroup.service.impl.ProducerCompSnapshotServiceImpl.lambda$1(ProducerCompSnapshotServiceImpl.java:101) ~[cirrus-legacy-core-1.318.113.jar:1.318.113] at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193) ~[?:1.8.0_382] at java.util.ArrayList$ArrayListSpliterator.forEachRemaining(ArrayList.java:1384) ~[?:1.8.0_382] at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482) ~[?:1.8.0_382] at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472) ~[?:1.8.0_382] at java.util.stream.ReduceOps$ReduceOp.evaluateSequential(ReduceOps.java:708) ~[?:1.8.0_382] at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234) ~[?:1.8.0_382] at java.util.stream.ReferencePipeline.collect(ReferencePipeline.java:566) ~[?:1.8.0_382] at com.optum.cirrus.legacy.core.messaging.inbound.membergroup.service.impl.ProducerCompSnapshotServiceImpl.lambda$0(ProducerCompSnapshotServiceImpl.java:105) ~[cirrus-legacy-core-1.318.113.jar:1.318.113] at java.util.ArrayList.forEach(ArrayList.java:1259) ~[?:1.8.0_382] at com.optum.cirrus.legacy.core.messaging.inbound.membergroup.service.impl.ProducerCompSnapshotServiceImpl.applySnapshot(ProducerCompSnapshotServiceImpl.java:94) ~[cirrus-legacy-core-1.318.113.jar:1.318.113] at sun.reflect.GeneratedMethodAccessor29876.invoke(Unknown Source) ~[?:?] at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:1.8.0_382] at java.lang.reflect.Method.invoke(Method.java:498) ~[?:1.8.0_382] at org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(AopUtils.java:344) ~[spring-aop-5.3.27.jar:5.3.27] at org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ReflectiveMethodInvocation.java:198) ~[spring-aop-5.3.27.jar:5.3.27] at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:163) ~[spring-aop-5.3.27.jar:5.3.27] at org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ExposeInvocationInterceptor.java:97) ~[spring-aop-5.3.27.jar:5.3.27] at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186) ~[spring-aop-5.3.27.jar:5.3.27] at org.springframework.aop.framework.JdkDynamicAopProxy.invoke(JdkDynamicAopProxy.java:220) ~[spring-aop-5.3.27.jar:5.3.27] at com.sun.proxy.$Proxy7220.applySnapshot(Unknown Source) ~[?:?] at com.optum.cirrus.legacy.core.membergroup.service.impl.ProducerCompServiceImpl.applySnapshot(ProducerCompServiceImpl.java:93) ~[cirrus-legacy-core-1.318.113.jar:1.318.113] at java.util.stream.ReferencePipeline$2$1.accept(ReferencePipeline.java:174) ~[?:1.8.0_382] at java.util.stream.SortedOps$RefSortingSink.end(SortedOps.java:400) ~[?:1.8.0_382] at java.util.stream.Sink$ChainedReference.end(Sink.java:258) ~[?:1.8.0_382] at java.util.stream.AbstractPipeline.copyIntoWithCancel(AbstractPipeline.java:500) ~[?:1.8.0_382] at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:486) ~[?:1.8.0_382] at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472) ~[?:1.8.0_382] at java.util.stream.FindOps$FindOp.evaluateSequential(FindOps.java:152) ~[?:1.8.0_382] at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234) ~[?:1.8.0_382] at java.util.stream.ReferencePipeline.findFirst(ReferencePipeline.java:531) ~[?:1.8.0_382] at com.optum.cirrus.legacy.core.membergroup.service.impl.ProducerCompServiceImpl.processPendingMessagesForMemGroup(ProducerCompServiceImpl.java:76) ~[cirrus-legacy-core-1.318.113.jar:1.318.113] at com.optum.cirrus.legacy.core.membergroup.service.impl.ProducerCompServiceImpl.lambda$2(ProducerCompServiceImpl.java:66) ~[cirrus-legacy-core-1.318.113.jar:1.318.113] at java.util.HashMap$KeySet.forEach(HashMap.java:934) ~[?:1.8.0_382] at com.optum.cirrus.legacy.core.membergroup.service.impl.ProducerCompServiceImpl.processPendingMessages(ProducerCompServiceImpl.java:66) ~[cirrus-legacy-core-1.318.113.jar:1.318.113] at com.optum.cirrus.legacy.core.membergroup.task.ProducerCompTask.run(ProducerCompTask.java:12) ~[cirrus-legacy-core-1.318.113.jar:1.318.113] at com.optum.cirrus.scheduler.client.core.impl.ExecuteJobEventHandlerImpl.lambda$processExecuteJobEvent$0(ExecuteJobEventHandlerImpl.java:124) ~[scheduler-client-18.0.1.SPRING-5.3.jar:18.0.1.SPRING-5.3] at com.optum.cirrus.multitenancy.internal.core.impl.TenantExecutorServiceImpl.execute(TenantExecutorServiceImpl.java:30) ~[cirrus-multitenancy-internal-core-1.318.113.jar:1.318.113] at com.optum.cirrus.web.spring.scheduler.ModularScheduledTaskExecutorImpl.runTask(ModularScheduledTaskExecutorImpl.java:24) ~[classes/:?] at com.optum.cirrus.scheduler.client.core.impl.ExecuteJobEventHandlerImpl.processExecuteJobEvent(ExecuteJobEventHandlerImpl.java:124) ~[scheduler-client-18.0.1.SPRING-5.3.jar:18.0.1.SPRING-5.3] at com.optum.cirrus.scheduler.client.core.impl.ExecuteJobEventHandlerImpl.executeJob(ExecuteJobEventHandlerImpl.java:98) ~[scheduler-client-18.0.1.SPRING-5.3.jar:18.0.1.SPRING-5.3] at com.optum.cirrus.scheduler.client.core.impl.ExecuteJobEventHandlerImpl.executeJob(ExecuteJobEventHandlerImpl.java:56) ~[scheduler-client-18.0.1.SPRING-5.3.jar:18.0.1.SPRING-5.3] at com.optum.cirrus.scheduler.client.rabbitmq.impl.ExecuteJobEventConsumer.handleMessage(ExecuteJobEventConsumer.java:52) ~[scheduler-client-rabbitmq-18.0.1.SPRING-5.3.jar:18.0.1.SPRING-5.3] at com.optum.ocf.messaging.provider.rabbitmq.spring.RabbitDefaultMessageListener.onMessage(RabbitDefaultMessageListener.java:35) ~[ocf-messaging-provider-rabbitmq-spring-7.0.0.SPRING-5.3.jar:7.0.0.SPRING-5.3] at org.springframework.amqp.rabbit.listener.AbstractMessageListenerContainer.doInvokeListener(AbstractMessageListenerContainer.java:1729) ~[spring-rabbit-2.4.11.jar:2.4.11] at org.springframework.amqp.rabbit.listener.AbstractMessageListenerContainer.actualInvokeListener(AbstractMessageListenerContainer.java:1603) ~[spring-rabbit-2.4.11.jar:2.4.11] at org.springframework.amqp.rabbit.listener.AbstractMessageListenerContainer.invokeListener(AbstractMessageListenerContainer.java:1580) [spring-rabbit-2.4.11.jar:2.4.11] at org.springframework.amqp.rabbit.listener.AbstractMessageListenerContainer.doExecuteListener(AbstractMessageListenerContainer.java:1571) [spring-rabbit-2.4.11.jar:2.4.11] at org.springframework.amqp.rabbit.listener.AbstractMessageListenerContainer.executeListener(AbstractMessageListenerContainer.java:1515) [spring-rabbit-2.4.11.jar:2.4.11] at org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer.doReceiveAndExecute(SimpleMessageListenerContainer.java:1001) [spring-rabbit-2.4.11.jar:2.4.11] at org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer.receiveAndExecute(SimpleMessageListenerContainer.java:948) [spring-rabbit-2.4.11.jar:2.4.11] at org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer.access$1600(SimpleMessageListenerContainer.java:86) [spring-rabbit-2.4.11.jar:2.4.11] at org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer$AsyncMessageProcessingConsumer.mainLoop(SimpleMessageListenerContainer.java:1326) [spring-rabbit-2.4.11.jar:2.4.11] at org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer$AsyncMessageProcessingConsumer.run(SimpleMessageListenerContainer.java:1232) [spring-rabbit-2.4.11.jar:2.4.11] at java.lang.Thread.run(Thread.java:750) [?:1.8.0_382]",Heimdalls,03-04-2024,Submitted,3-Minor Problem,,,Customer Reported,625ef556c3958650d5d1dfbf050131e3,,Incident,,,,Refining,
DE866716,Need to investigate root cause on multiple identical enrollments,memberID IN (169314734) - 3 idential enrollments in PO100006.  All with same createDateTime,Heimdalls,02-04-2024,Submitted,3-Minor Problem,,,Customer Reported,9ce4018ac3998a10d5d1dfbf0501315e,,Proactive,,,,Refining,
DE866715,"Fulfillment receiving invalid trigger requesting ID cards for non medical benefits. This creates additional work that doesn't need to happen, unnecessary noise in the Member space. Expectation is not to receive ID card triggers for non medical benefi","Fulfillment receiving invalid trigger requesting ID cards for non medical benefits. This creates additional work that doesn't need to happen, unnecessary noise in the Member space. Expectation is not to receive ID card triggers for non medical benefits.",Heimdalls,02-04-2024,Submitted,3-Minor Problem,,,Customer Reported,7873c94ac3198a10d5d1dfbf0501318b,,Proactive,,,,Refining,
DE865966,Request for Help Desk support,"Cirrus/USP Member Other Insurance not accepting Medical COB benefit for member. Receiving error message in Cirrus/USP when updating medical COB. COB investigators are able to add Rx benefit type to Member Other Insurance without error, appears to be isolated to Medical Benefit Type updates. https://phi-splunk.optum.com/en-US/app/optum_cirrus/search?q=search%20sourcetype%3D*-cirrus%20catalina-exec-12%20host%3D%22coreui-79fb8bb85-wmjn8%22&display.page.search.mode=verbose&dispatch.sample_ratio=1&earliest=1709652454.734&latest=1709652455.735&sid=1709676211.371840_7DBD82DF-F8FD-4712-A893-182E4588B839",Heimdalls,01-04-2024,Submitted,3-Minor Problem,,,Customer Reported,59d9a3e997110ed4fa7ff1f0f053afda,,Incident,,,,Refining,
DE865762,Unable to add a trading partner to an external cost share plan,"Branch: defect/PKUMA716/DE865762_Unable_to_add_tradingPartner_to_externalCostSharePlanJenkins: https://cirrus-jenkins-core.optum.com/job/core-git/job/developer/job/branches/job/defect_PKUMA716_DE865762_Unable_to_add_tradingPartner_to_externalCostSharePlan/view/Build%20Branch/ÿGIT: https://github.com/uhc-tech-employer-individual/cirrus-apps_cirrus-core/compare/develop...defect/PKUMA716/DE865762_Unable_to_add_tradingPartner_to_externalCostSharePlanÿBuild Number:ÿSA: Gaurav SharmaTech Analysis:ÿDev: Pranav KumarReviewer: Abhinav KumarQA: VasuPO: SubhashiniStory Review and Approval: Internal SK 04/02/2024Online Help Documentation approval date:ÿÿBrief Description:ÿ As a Configuration Analyst, I should be able to add the Trading Partner Profile ID on the Settings tab of a Benefit Plan that has External Cost Share.ÿIssue: When user is trying to add a trading partner to an external cost share plan in the settings tab, then getting an error ?Invalid Value?. The Trading Partner Profile ID is the valid value from the Trading Partner record still it shows as ? Invalid Value?. The error does not occur when the Trading Partner Profile ID exists in the Trading Partner Table. It is happening because the validation check is for Trading Partner ID and not for Trading Partner Profile IDÿSteps to reproduce:ÿÿRetrieve a Benefit Plan that has an External Cost Share (externalCostShareInd = True)That benefit plan should have a """"Benefit Accumulator - Trading Partner"""" recordGo to Tools> Reference Menu> Trading Partner and retrieve the same Trading Partner ID that is assigned to the benefit planVerify that the Trading Partner Profile ID ( with Trading Partner Transaction Type as """"External Cost Share"""") does not have a record with the same ID number for Trading Partner IDÿGo to Settings tab and click on the spyglass next to """"Trading Partner Profile ID"""" field to select the valueSelect the Trading Partner Profile record with Trading Partner Transaction Type as """"External Cost Share""""Perform Update actionÿExpected Results:ÿRecord should be updated successfully with the Trading Partner Profile IDÿActual Results: Error Message displays: """"Trading Partner Profile ID: Invalid value.""""ÿBelow is an example for reference:Environment = Development.Benefit Plan ID:ÿ TESTBECAUSEÿÿÿÿÿÿ",QIB - Valkyrie,01-04-2024,Open,3-Minor Problem,,,Internally Reported,,,,Vasu Badisa,,2024.PI49.2,In-Progress,
DE864617,"Cirrus-An event ran on the affiliation that says """"system_member_events"""" and it caused a coverage level code for 2024 / 2025 to be added.  This is causing the  member to error out at surest because there is no group plan attached to that line as the c","An event ran on the affiliation that says """"system_member_events"""" and it caused a coverage level code for 2024 / 2025 to be added.  This is causing the  member to error out at surest because there is no group plan attached to that line as the contracts don't exist for future coverageProduct entered by customer: Cirrus",Heimdalls,27-03-2024,Submitted,3-Minor Problem,,,Customer Reported,b13f8898c359425cd5d1dfbf05013127,,Incident,,,,Refining,
DE864611,Cirrus - Bill Group Detail Invoice Re-Deriation Utility popup,Description: There are two issues with this screen. When performing submit action there is no status message displayed on the screen giving. The other issue is that the popup is returning no data for member benefitID requiring data to be copied and pasted rather than using the popup.ÿÿÿ,Heimdalls,27-03-2024,Submitted,3-Medium,Production,,Internally Reported,,,,,,,Refining,
DE863831,Defect:  Unable to delete a Contract Affiliation after it has been validated,"PO: Tina MillerSA: Russ HammondPR:ÿÿReported by: Hammond, Russell D <russell_hammond@optum.com>Env: AlphaÿI?ve encountered the following defect in Alpha.ÿ Refer to MG 4551504 in AlphaÿTo recreate:Create a Contract Affiliation to a Contract with an active Medical Contract OptionValidate the Contract AffiliationAttempt to delete the Contract Affiliation (before it has been activated)ÿExpected Result:Contract Affiliation will be deleted.ÿActual Result:ÿÿÿÿÿÿÿÿÿÿÿ ?Record not found.? Error displayed on the UI.NOTE: ÿIf the user attempts to delete the Contract Affiliation a second time, an Application Error occurs. ÿSee the attached Stack Trace.ÿAttempting to delete the first time:ÿÿÿWhen attempting the deletion a second time:ÿÿÿÿ",QIB - Rogue,27-03-2024,Open,3-Medium,Production,Design/Code Change,Internally Reported,,,,David Powell,,2024.PI49.2,In-Progress,
DE863803,Cirrus - Enrollment CIDM Json gets stuck in a loop due to exception,"DESCRIPTION: For memGroupID  1580662 we can see multiple errors for a member and each error has no details.  There are well over 100 messages in error queue on that day. Looking closer at the logs we can see in splunk that the CIDM json gets stuck in a loop. I suspect that its due to a member match issue -attached payload. They used   """"memberExternalID"""": [    {      """"externalIDType"""": """"SY"""",      """"memberExternalID"""": """"999999999"""",      """"preferredInd"""": true,      """"changeUserID"""": """"SYSTEM_ENROLL_ENGINE""""    } Then when trying to attach potential matches based on that the data was too large and failed.Caused by: org.springframework.dao.DataIntegrityViolationException: could not execute statement [Data truncation: Data too long for column 'potentialMemberIDs' at row 1] [insert into memberEnrollmentErrorQueueDtl (changeDateTime,changeUserID,closeReason,createDateTime,createUserID,memberEnrollmentErrorQueueID,potentialMemberIDs,queueItemDetailErrorCategory,queueItemDetailErrorCode,queueItemDetailErrorContext,queueItemDetailErrorDescription,queueItemDetailErrorFieldValue,queueItemDetailStatus) values (?,?,?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into memberEnrollmentErrorQueueDtl (changeDateTime,changeUserID,closeReason,createDateTime,createUserID,memberEnrollmentErrorQueueID,potentialMemberIDs,queueItemDetailErrorCategory,queueItemDetailErrorCode,queueItemDetailErrorContext,queueItemDetailErrorDescription,queueItemDetailErrorFieldValue,queueItemDetailStatus) values (?,?,?,?,?,?,?,?,?,?,?,?,?)]Splunkhttps://phi-splunk.optum.com/en-US/app/optum_cirrus/search?q=search%20397175756%20%20sourcetype%3D%22errorqueuembrenrollment-cirrus%22%20ERROR%20failedMessage&display.page.search.mode=verbose&dispatch.sample_ratio=1&earliest=1706680800&latest=1706853600&sid=1711511142.75948_25F3BFEB-A4BB-4779-82CB-8A2528B376E2",Heimdalls,26-03-2024,Submitted,3-Medium,Production,,Customer Reported,8b570b33c345061cd5d1dfbf0501316d,,Incident,,,,Refining,
